ECLI_code,id_text,length,ttr,text,key_words,text_key_words
periode,0,705,46.875,"Uitspraak
HOGE RAAD DER NEDERLANDEN

CIVIELE KAMER

Nummer 25/01012

Datum 19 september 2025

BESCHIKKING

In de zaak van

[betrokkene],

wonende te [woonplaats],

VERZOEKSTER tot cassatie,

hierna: betrokkene,

advocaat: M.E. Bruning,

tegen

DE OFFICIER VAN JUSTITIE IN HET ARRONDISSEMENT MIDDEN-NEDERLAND,

VERWEERDER in cassatie,

hierna: de officier van justitie,

niet verschenen.

1. Procesverloop
Voor het verloop van het geding tot dusver verwijst de Hoge Raad naar:

a. zijn beschikking in de zaak 24/01270, ECLI:NL:HR:2024:1546 van 25 oktober 2024;

b. de beschikking na vernietiging en terugwijzing in de zaak C/16/583532 / FV RK 24-2630 van de rechtbank Midden-Nederland van 20 december 2024.

Betrokkene heeft tegen de beschikking van de rechtbank beroep in cassatie ingesteld.

De officier van justitie heeft geen verweerschrift ingediend.

De conclusie van de Advocaat-Generaal B.J. Drijber strekt tot vernietiging van de beschikking van 20 december 2024 van de rechtbank Midden-Nederland en tot afdoening als vermeld onder 3.15 in de conclusie.

2. Uitgangspunten en feiten
2.1. Bij beschikking van 12 januari 2023 heeft de rechtbank Midden-Nederland ten aanzien van betrokkene een zorgmachtiging verleend voor de periode tot en met 12 januari 2024.

2.2. In dit geding heeft de officier van justitie verzocht een aansluitende zorgmachtiging te verlenen voor de duur van twaalf maanden. Bij het verzoekschrift is een op 30 november 2023 gedateerde medische verklaring overgelegd van een niet bij de behandeling betrokken psychiater. Daarin is, voor zover van belang, vermeld dat de verklaring is opgesteld op basis van dossieronderzoek en afstemming met de zorgverantwoordelijke, omdat betrokkene ongeoorloofd afwezig was van de kliniek, haar verblijfplaats niet bekend was en zij ook niet te bereiken was.

2.3. Bij mondelinge uitspraak van 3 januari 2024, schriftelijk uitgewerkt op 16 januari 2024, heeft de rechtbank een zorgmachtiging verleend voor de duur van een maand, dus tot en met 3 februari 2024. De beslissing op het verzoek is voor het overige aangehouden in afwachting van een nieuwe medische verklaring. De rechtbank heeft daartoe overwogen:

“3.1. De rechtbank is op basis van de stukken en de verklaring van de psychiater ter zitting van

oordeel dat de onafhankelijk psychiater ten tijde van het opstellen van de medische verklaring al

het mogelijke heeft gedaan om betrokkene te kunnen spreken ten tijde van het opstellen van de

medische verklaring. Desondanks kleeft er naar het oordeel van de rechtbank een gebrek aan de

medische verklaring. Tijdens de zitting is namelijk gebleken dat betrokkene sinds 18 december

2023 terug is in de kliniek. Dit maakt dat de zorgaanbieder volgens de rechtbank in de gelegenheid

is geweest om in de tussentijd een (aanvulling op de) medische verklaring op te stellen. De

rechtbank is van oordeel dat het gebrek aan de medische verklaring hersteld kan worden. (…)

Naar het oordeel van de rechtbank kan er ook een nieuwe medische verklaring worden opgesteld.

Deze dient zo concreet te zijn dat de rechter daaruit kan afleiden dat de psychiater zich een oordeel heeft gevormd over de actuele gezondheidstoestand van de betrokkene. De rechtbank zal de

zorgaanbieder dan ook in de gelegenheid stellen om een nieuwe medische verklaring op te stellen

over de actuele gezondheidstoestand van de betrokkene.

3.2.
De rechtbank ziet ondanks voornoemd gebrek aan de medische verklaring aanleiding het

verzoek voor korte duur toe te wijzen. De rechtbank constateert dat de huidige zorgmachtiging,

gelet op het verstrijken van de uitspraaktermijn, op 4 januari 2024 af loopt. (…)

(…)

3.4.
Gelet op voorgaande en de aard en de ernst van het ernstig nadeel, alsmede het feit dat

betrokkene recent gedurende langere periode ongeoorloofd afwezig is geweest acht de rechtbank

te rechtvaardigen dat het verzoek tot het verlenen van een zorgmachtiging voor korte duur wordt

toegewezen. De rechtbank verleent daarom een zorgmachtiging voor de verzochte vormen van

verplichte zorg als bedoeld in artikel 3:2 Wvggz voor de duur van een maand te weten tot en met

3 februari 2024, en zal de beslissing op het verzoek voor het overige aanhouden. De rechtbank

stelt de zorgaanbieder daarmee in de gelegenheid om een nieuwe medische verklaring over te

leggen.”

2.4. Nadat de rechtbank op 16 januari 2024 een nieuwe medische verklaring had ontvangen, is

de mondelinge behandeling van het verzoek op 29 januari 2024 voortgezet.

2.5. Bij mondelinge uitspraak van 29 januari 2024, schriftelijk uitgewerkt op 16 februari 20241,

heeft de rechtbank een zorgmachtiging verleend voor de periode tot en met 3 januari 2025.

2.6. Betrokkene heeft tegen de beschikkingen van 3 januari 2024 en 29 januari 2024 beroep in cassatie ingesteld (hierna ook: de eerste cassatieprocedure).

2.7. De Hoge Raad heeft bij beschikking van 25 oktober 20242 de beschikking van 3 januari 2024 vernietigd en het geding naar de rechtbank teruggewezen ter verdere behandeling en beslissing.

2.8. Na terugwijzing heeft de rechtbank bij de bestreden beschikking 3 ten aanzien van betrokkene een zorgmachtiging verleend voor de periode van 3 januari 2024 tot en met 3 februari 2024. De rechtbank heeft daartoe onder meer het volgende overwogen.

“3.2. Ten tijde van de beoordeling is de machtiging waarover de rechtbank opnieuw moet beslissen, vervallen. De Hoge Raad heeft immers alleen de beschikking van deze rechtbank vernietigd van 3 januari 2024, waarin de zorgmachtiging is verleend tot en met 3 februari 2024. De beschikking van 29 januari 2024, waarin de zorgmachtiging is verleend voor de resterende duur van het verzoek, is in stand gelaten. Op basis van de rechtspraak van de Hoge Raad moet in dit geval de rechtbank beoordelen of op het tijdstip dat de vernietigde beslissing werd gegeven voldoende grond bestond voor het verlenen van de verzochte machtiging.

3.3.
De rechtbank merkt hierbij op dat bij de Hoge Raad alleen aan de orde is geweest of de rechtbank een ‘overbruggingsmachtiging’ mocht verlenen in het geval de rechtbank constateert dat er een gebrek zit in de medische verklaring. Niet aan de orde is geweest de vraag of de medische verklaring van 30 november 2023, waar de rechtbank haar oordeel op heeft gebaseerd, daadwerkelijk een gebrek heeft. Omdat deze laatste vraag niet aan de orde is geweest en de rechtbank opnieuw moet beoordelen over het verzoek van de officier van justitie, betrekt de rechtbank in haar beoordeling ook de vraag of de medische verklaring van 30 november 2023 een gebrek heeft of niet.

(…)

3.7.
De rechtbank overweegt dat op basis van vaste rechtspraak van de Hoge Raad (zie bijvoorbeeld HR 21 april 2023, ECLI:NL:HR:2023:663) de psychiater het medisch onderzoek dat in de Wvggz voor de diverse vormen van verplichte zorg is voorgeschreven, in beginsel zó moet verrichten dat hij de betrokkene in een direct contact, dat wil zeggen: in de fysieke aanwezigheid van betrokkene, spreekt en observeert. Dit is slechts anders als dat redelijkerwijs niet mogelijk is. Daarbij kan het bijvoorbeeld gaan om een weigering van de betrokkene om aan een onderzoek mee te werken, maar ook andere omstandigheden kunnen meebrengen dat onderzoek in fysieke aanwezigheid van de betrokkene niet of slechts beperkt mogelijk is. In die gevallen zal, met het oog op de beoogde maatregel, steeds op de best mogelijke manier moeten worden getracht inzicht te verkrijgen in de actuele gezondheidstoestand van de betrokkene en de noodzaak tot het treffen van de beoogde maatregel, aldus nog steeds de Hoge Raad.

3.8.
De rechtbank overweegt dat uit deze rechtspraak van de Hoge Raad blijkt dat het onder omstandigheden wel degelijk mogelijk is dat een psychiater een medische verklaring opstelt zonder dat hij de betrokkene in zijn of haar fysieke aanwezigheid onderzoekt. In dit geval is de rechtbank van oordeel dat een onderzoek in fysieke aanwezigheid niet mogelijk was. Betrokkene was namelijk op het moment dat de psychiater de medische verklaring opstelde ongeoorloofd afwezig en het was niet duidelijk waar betrokkene precies verbleef. In de medische verklaring staat verder dat betrokkene niet te bereiken was. Tijdens de zitting van 3 januari 2024 heeft de behandelend psychiater verklaard dat ook via familie is geprobeerd om contact te krijgen met betrokkene. Onder deze omstandigheden mocht de psychiater de medische verklaring opstellen buiten aanwezigheid van betrokkene en vertoont de medische verklaring op dit punt geen gebrek.

3.9. Dat betrokkene vanaf 18 december 2023 weer in de kliniek was, maakt dit niet anders. (…)

3.10.
Op basis van deze uitspraak [HR 31 mei 2024, ECLI:NL:HR:2024:789, HR] zijn dus de omstandigheden tot aan het indienen van het verzoek van belang bij de beoordeling of de psychiater de medische verklaring buiten fysieke aanwezigheid van betrokkene mocht opstellen. Omstandigheden die zich nadien hebben voorgedaan zijn voor deze beoordeling dus niet van belang. Het verzoek om een zorgmachtiging te verlenen is ingediend op 14 december 2023. Betrokkene is op 18 december 2023 weer in de kliniek opgenomen. Dat is na indiening van het verzoek. Dit betekent dat de medische verklaring op het moment dat het verzoek is ingediend, geen gebrek vertoonde. De rechtbank zal dus die medische verklaring bij de beoordeling van het verzoek betrekken.

(…)

3.18.
Omdat betrokkene inmiddels weer is opgenomen en dus in beeld is, ziet de rechtbank aanleiding om de machtiging voor slechts een maand te verlenen. De rechtbank hoeft de beslissing op het overige deel van het verzoek niet aan te houden tot een nader te bepalen zittingsdatum omdat daar op 29 januari 2024 al een beslissing is genomen die in stand is gebleven.”

3. Beoordeling van het middel
3.1.1. Onderdeel 1b van het middel betoogt dat de rechtbank de grenzen van de rechtsstrijd na cassatie en terugwijzing heeft miskend door ten onrechte te beoordelen of de medische verklaring van 30 november 2023 (hierna: de medische verklaring) daadwerkelijk een gebrek heeft.

3.1.2. Het onderdeel slaagt. In haar beschikking van 3 januari 2024 heeft de rechtbank geoordeeld dat aan de medische verklaring een gebrek kleeft en dat de rechtbank ondanks voornoemd gebrek aanleiding ziet het verzoek van de officier van justitie om een zorgmachtiging te verlenen ten aanzien van betrokkene voor korte duur toe te wijzen (zie hiervoor in 2.3).

In zijn beschikking van 25 oktober 20244 heeft de Hoge Raad geoordeeld dat de klacht slaagt dat de rechtbank de zorgmachtiging – gelet op haar vaststelling dat de medische verklaring niet voldeed aan de daaraan in de wet gestelde eisen – niet had mogen verlenen. De beslissing van de rechtbank dat aan de medische verklaring een gebrek kleeft, is in de eerste cassatieprocedure niet bestreden.

Na cassatie en terugwijzing diende de rechtbank opnieuw te beoordelen of op het tijdstip waarop de zorgmachtiging voor de periode van 3 januari 2024 tot en met 3 februari 2024 werd verleend (3 januari 2024), voldoende grond bestond voor het verlenen van de verzochte zorgmachtiging. 5 De rechtbank was bij deze beoordeling gebonden aan haar eerdere beslissing dat aan de medische verklaring een gebrek kleeft, aangezien deze beslissing in de eerste cassatieprocedure niet was bestreden. In de bestreden beschikking heeft de rechtbank dit miskend.

3.1.3. De Hoge Raad zal zelf de zaak afdoen door het verzoek tot het verlenen van een zorgmachtiging voor de periode van 3 januari 2024 tot en met 3 februari 2024 af te wijzen.

3.2. De overige klachten van het middel behoeven geen behandeling.

4. Beslissing
De Hoge Raad:

- vernietigt de beschikking van de rechtbank Midden-Nederland van 20 december 2024;

- wijst af het verzoek tot het verlenen van een zorgmachtiging voor de periode van 3 januari 2024 tot en met 3 februari 2024.

Deze beschikking is gegeven door de vicepresident M.V. Polak als voorzitter en de raadsheren F.J.P. Lock, A.E.B. ter Heide, F.R. Salomons en K. Teuben, en in het openbaar uitgesproken door de raadsheer A.E.B. ter Heide op 19 september 2025.

1. Rechtbank Midden-Nederland 29 januari 2024, ECLI:NL:RBMNE:2024:2164.

2. HR 25 oktober 2024, ECLI:NL:HR:2024:1546.

3. Rechtbank Midden-Nederland 20 december 2024, ECLI:NL:RBMNE:2024:7407.

4. HR 25 oktober 2024, ECLI:NL:HR:2024:1546.

5. HR 18 november 2022, ECLI:NL:HR:2022:1701, rov. 3.2.","medisch, verklaring, zorgmachtiging, gebrek, psychiater, opstellen, fysiek, aanwezigheid, kliniek, kleven","medisch, verklaring, zorgmachtiging, gebrek, psychiater, opstellen, fysiek, aanwezigheid, kliniek, kleven
Uitspraak
HOGE RAAD DER NEDERLANDEN

CIVIELE KAMER

Nummer 25/01012

Datum 19 september 2025

BESCHIKKING

In de zaak van

[betrokkene],

wonende te [woonplaats],

VERZOEKSTER tot cassatie,

hierna: betrokkene,

advocaat: M.E. Bruning,

tegen

DE OFFICIER VAN JUSTITIE IN HET ARRONDISSEMENT MIDDEN-NEDERLAND,

VERWEERDER in cassatie,

hierna: de officier van justitie,

niet verschenen.

1. Procesverloop
Voor het verloop van het geding tot dusver verwijst de Hoge Raad naar:

a. zijn beschikking in de zaak 24/01270, ECLI:NL:HR:2024:1546 van 25 oktober 2024;

b. de beschikking na vernietiging en terugwijzing in de zaak C/16/583532 / FV RK 24-2630 van de rechtbank Midden-Nederland van 20 december 2024.

Betrokkene heeft tegen de beschikking van de rechtbank beroep in cassatie ingesteld.

De officier van justitie heeft geen verweerschrift ingediend.

De conclusie van de Advocaat-Generaal B.J. Drijber strekt tot vernietiging van de beschikking van 20 december 2024 van de rechtbank Midden-Nederland en tot afdoening als vermeld onder 3.15 in de conclusie.

2. Uitgangspunten en feiten
2.1. Bij beschikking van 12 januari 2023 heeft de rechtbank Midden-Nederland ten aanzien van betrokkene een zorgmachtiging verleend voor de periode tot en met 12 januari 2024.

2.2. In dit geding heeft de officier van justitie verzocht een aansluitende zorgmachtiging te verlenen voor de duur van twaalf maanden. Bij het verzoekschrift is een op 30 november 2023 gedateerde medische verklaring overgelegd van een niet bij de behandeling betrokken psychiater. Daarin is, voor zover van belang, vermeld dat de verklaring is opgesteld op basis van dossieronderzoek en afstemming met de zorgverantwoordelijke, omdat betrokkene ongeoorloofd afwezig was van de kliniek, haar verblijfplaats niet bekend was en zij ook niet te bereiken was.

2.3. Bij mondelinge uitspraak van 3 januari 2024, schriftelijk uitgewerkt op 16 januari 2024, heeft de rechtbank een zorgmachtiging verleend voor de duur van een maand, dus tot en met 3 februari 2024. De beslissing op het verzoek is voor het overige aangehouden in afwachting van een nieuwe medische verklaring. De rechtbank heeft daartoe overwogen:

“3.1. De rechtbank is op basis van de stukken en de verklaring van de psychiater ter zitting van

oordeel dat de onafhankelijk psychiater ten tijde van het opstellen van de medische verklaring al

het mogelijke heeft gedaan om betrokkene te kunnen spreken ten tijde van het opstellen van de

medische verklaring. Desondanks kleeft er naar het oordeel van de rechtbank een gebrek aan de

medische verklaring. Tijdens de zitting is namelijk gebleken dat betrokkene sinds 18 december

2023 terug is in de kliniek. Dit maakt dat de zorgaanbieder volgens de rechtbank in de gelegenheid

is geweest om in de tussentijd een (aanvulling op de) medische verklaring op te stellen. De

rechtbank is van oordeel dat het gebrek aan de medische verklaring hersteld kan worden. (…)

Naar het oordeel van de rechtbank kan er ook een nieuwe medische verklaring worden opgesteld.

Deze dient zo concreet te zijn dat de rechter daaruit kan afleiden dat de psychiater zich een oordeel heeft gevormd over de actuele gezondheidstoestand van de betrokkene. De rechtbank zal de

zorgaanbieder dan ook in de gelegenheid stellen om een nieuwe medische verklaring op te stellen

over de actuele gezondheidstoestand van de betrokkene.

3.2.
De rechtbank ziet ondanks voornoemd gebrek aan de medische verklaring aanleiding het

verzoek voor korte duur toe te wijzen. De rechtbank constateert dat de huidige zorgmachtiging,

gelet op het verstrijken van de uitspraaktermijn, op 4 januari 2024 af loopt. (…)

(…)

3.4.
Gelet op voorgaande en de aard en de ernst van het ernstig nadeel, alsmede het feit dat

betrokkene recent gedurende langere periode ongeoorloofd afwezig is geweest acht de rechtbank

te rechtvaardigen dat het verzoek tot het verlenen van een zorgmachtiging voor korte duur wordt

toegewezen. De rechtbank verleent daarom een zorgmachtiging voor de verzochte vormen van

verplichte zorg als bedoeld in artikel 3:2 Wvggz voor de duur van een maand te weten tot en met

3 februari 2024, en zal de beslissing op het verzoek voor het overige aanhouden. De rechtbank

stelt de zorgaanbieder daarmee in de gelegenheid om een nieuwe medische verklaring over te

leggen.”

2.4. Nadat de rechtbank op 16 januari 2024 een nieuwe medische verklaring had ontvangen, is

de mondelinge behandeling van het verzoek op 29 januari 2024 voortgezet.

2.5. Bij mondelinge uitspraak van 29 januari 2024, schriftelijk uitgewerkt op 16 februari 20241,

heeft de rechtbank een zorgmachtiging verleend voor de periode tot en met 3 januari 2025.

2.6. Betrokkene heeft tegen de beschikkingen van 3 januari 2024 en 29 januari 2024 beroep in cassatie ingesteld (hierna ook: de eerste cassatieprocedure).

2.7. De Hoge Raad heeft bij beschikking van 25 oktober 20242 de beschikking van 3 januari 2024 vernietigd en het geding naar de rechtbank teruggewezen ter verdere behandeling en beslissing.

2.8. Na terugwijzing heeft de rechtbank bij de bestreden beschikking 3 ten aanzien van betrokkene een zorgmachtiging verleend voor de periode van 3 januari 2024 tot en met 3 februari 2024. De rechtbank heeft daartoe onder meer het volgende overwogen.

“3.2. Ten tijde van de beoordeling is de machtiging waarover de rechtbank opnieuw moet beslissen, vervallen. De Hoge Raad heeft immers alleen de beschikking van deze rechtbank vernietigd van 3 januari 2024, waarin de zorgmachtiging is verleend tot en met 3 februari 2024. De beschikking van 29 januari 2024, waarin de zorgmachtiging is verleend voor de resterende duur van het verzoek, is in stand gelaten. Op basis van de rechtspraak van de Hoge Raad moet in dit geval de rechtbank beoordelen of op het tijdstip dat de vernietigde beslissing werd gegeven voldoende grond bestond voor het verlenen van de verzochte machtiging.

3.3.
De rechtbank merkt hierbij op dat bij de Hoge Raad alleen aan de orde is geweest of de rechtbank een ‘overbruggingsmachtiging’ mocht verlenen in het geval de rechtbank constateert dat er een gebrek zit in de medische verklaring. Niet aan de orde is geweest de vraag of de medische verklaring van 30 november 2023, waar de rechtbank haar oordeel op heeft gebaseerd, daadwerkelijk een gebrek heeft. Omdat deze laatste vraag niet aan de orde is geweest en de rechtbank opnieuw moet beoordelen over het verzoek van de officier van justitie, betrekt de rechtbank in haar beoordeling ook de vraag of de medische verklaring van 30 november 2023 een gebrek heeft of niet.

(…)

3.7.
De rechtbank overweegt dat op basis van vaste rechtspraak van de Hoge Raad (zie bijvoorbeeld HR 21 april 2023, ECLI:NL:HR:2023:663) de psychiater het medisch onderzoek dat in de Wvggz voor de diverse vormen van verplichte zorg is voorgeschreven, in beginsel zó moet verrichten dat hij de betrokkene in een direct contact, dat wil zeggen: in de fysieke aanwezigheid van betrokkene, spreekt en observeert. Dit is slechts anders als dat redelijkerwijs niet mogelijk is. Daarbij kan het bijvoorbeeld gaan om een weigering van de betrokkene om aan een onderzoek mee te werken, maar ook andere omstandigheden kunnen meebrengen dat onderzoek in fysieke aanwezigheid van de betrokkene niet of slechts beperkt mogelijk is. In die gevallen zal, met het oog op de beoogde maatregel, steeds op de best mogelijke manier moeten worden getracht inzicht te verkrijgen in de actuele gezondheidstoestand van de betrokkene en de noodzaak tot het treffen van de beoogde maatregel, aldus nog steeds de Hoge Raad.

3.8.
De rechtbank overweegt dat uit deze rechtspraak van de Hoge Raad blijkt dat het onder omstandigheden wel degelijk mogelijk is dat een psychiater een medische verklaring opstelt zonder dat hij de betrokkene in zijn of haar fysieke aanwezigheid onderzoekt. In dit geval is de rechtbank van oordeel dat een onderzoek in fysieke aanwezigheid niet mogelijk was. Betrokkene was namelijk op het moment dat de psychiater de medische verklaring opstelde ongeoorloofd afwezig en het was niet duidelijk waar betrokkene precies verbleef. In de medische verklaring staat verder dat betrokkene niet te bereiken was. Tijdens de zitting van 3 januari 2024 heeft de behandelend psychiater verklaard dat ook via familie is geprobeerd om contact te krijgen met betrokkene. Onder deze omstandigheden mocht de psychiater de medische verklaring opstellen buiten aanwezigheid van betrokkene en vertoont de medische verklaring op dit punt geen gebrek.

3.9. Dat betrokkene vanaf 18 december 2023 weer in de kliniek was, maakt dit niet anders. (…)

3.10.
Op basis van deze uitspraak [HR 31 mei 2024, ECLI:NL:HR:2024:789, HR] zijn dus de omstandigheden tot aan het indienen van het verzoek van belang bij de beoordeling of de psychiater de medische verklaring buiten fysieke aanwezigheid van betrokkene mocht opstellen. Omstandigheden die zich nadien hebben voorgedaan zijn voor deze beoordeling dus niet van belang. Het verzoek om een zorgmachtiging te verlenen is ingediend op 14 december 2023. Betrokkene is op 18 december 2023 weer in de kliniek opgenomen. Dat is na indiening van het verzoek. Dit betekent dat de medische verklaring op het moment dat het verzoek is ingediend, geen gebrek vertoonde. De rechtbank zal dus die medische verklaring bij de beoordeling van het verzoek betrekken.

(…)

3.18.
Omdat betrokkene inmiddels weer is opgenomen en dus in beeld is, ziet de rechtbank aanleiding om de machtiging voor slechts een maand te verlenen. De rechtbank hoeft de beslissing op het overige deel van het verzoek niet aan te houden tot een nader te bepalen zittingsdatum omdat daar op 29 januari 2024 al een beslissing is genomen die in stand is gebleven.”

3. Beoordeling van het middel
3.1.1. Onderdeel 1b van het middel betoogt dat de rechtbank de grenzen van de rechtsstrijd na cassatie en terugwijzing heeft miskend door ten onrechte te beoordelen of de medische verklaring van 30 november 2023 (hierna: de medische verklaring) daadwerkelijk een gebrek heeft.

3.1.2. Het onderdeel slaagt. In haar beschikking van 3 januari 2024 heeft de rechtbank geoordeeld dat aan de medische verklaring een gebrek kleeft en dat de rechtbank ondanks voornoemd gebrek aanleiding ziet het verzoek van de officier van justitie om een zorgmachtiging te verlenen ten aanzien van betrokkene voor korte duur toe te wijzen (zie hiervoor in 2.3).

In zijn beschikking van 25 oktober 20244 heeft de Hoge Raad geoordeeld dat de klacht slaagt dat de rechtbank de zorgmachtiging – gelet op haar vaststelling dat de medische verklaring niet voldeed aan de daaraan in de wet gestelde eisen – niet had mogen verlenen. De beslissing van de rechtbank dat aan de medische verklaring een gebrek kleeft, is in de eerste cassatieprocedure niet bestreden.

Na cassatie en terugwijzing diende de rechtbank opnieuw te beoordelen of op het tijdstip waarop de zorgmachtiging voor de periode van 3 januari 2024 tot en met 3 februari 2024 werd verleend (3 januari 2024), voldoende grond bestond voor het verlenen van de verzochte zorgmachtiging. 5 De rechtbank was bij deze beoordeling gebonden aan haar eerdere beslissing dat aan de medische verklaring een gebrek kleeft, aangezien deze beslissing in de eerste cassatieprocedure niet was bestreden. In de bestreden beschikking heeft de rechtbank dit miskend.

3.1.3. De Hoge Raad zal zelf de zaak afdoen door het verzoek tot het verlenen van een zorgmachtiging voor de periode van 3 januari 2024 tot en met 3 februari 2024 af te wijzen.

3.2. De overige klachten van het middel behoeven geen behandeling.

4. Beslissing
De Hoge Raad:

- vernietigt de beschikking van de rechtbank Midden-Nederland van 20 december 2024;

- wijst af het verzoek tot het verlenen van een zorgmachtiging voor de periode van 3 januari 2024 tot en met 3 februari 2024.

Deze beschikking is gegeven door de vicepresident M.V. Polak als voorzitter en de raadsheren F.J.P. Lock, A.E.B. ter Heide, F.R. Salomons en K. Teuben, en in het openbaar uitgesproken door de raadsheer A.E.B. ter Heide op 19 september 2025.

1. Rechtbank Midden-Nederland 29 januari 2024, ECLI:NL:RBMNE:2024:2164.

2. HR 25 oktober 2024, ECLI:NL:HR:2024:1546.

3. Rechtbank Midden-Nederland 20 december 2024, ECLI:NL:RBMNE:2024:7407.

4. HR 25 oktober 2024, ECLI:NL:HR:2024:1546.

5. HR 18 november 2022, ECLI:NL:HR:2022:1701, rov. 3.2."
,1,,,,"dagvaarding, huurder, exploot, griffie, appeldagvaarding, roldatum, verhuurder, herstelexploot, tijdig, dagvaren",
,2,,,,"teken, merk, beeldmerken, publiek, overeenstemming, mate, schoen, merkinbreuk, verband, verwarringsgevaar",
,3,,,,"executoriale, boete, schikking, proces-verbaal, geheimhoudingsbeding, overtreding, overtreden, verbeuren, beslag, schikkingsovereenkomst",
,4,,,,"nihil, begroten, vermeerderen, rente, verschot, salaris, beoordelen, voldoen, vernietiging, veroordelen",
,5,,,,"waarde, registergoederen, correctie, voorkeursrecht, taxeren, perceel, berekening, reserve, boekwaarde, bedrag",
,6,,,,"nihil, beoordelen, vernietiging, begroten, veroordelen, verwerpen, eenheid, ontwikkeling, motiveren, wijzen",
,7,,,,"zorgmachtiging, duur, maximaal, vervolgmachtiging, geldigheidsduur, uiterlijk, week, verstrijken, aansluiten, machtiging",
,8,,,,"gift, toerekenen, schenker, koopsom, kwijtschelding, woning, gemeenschap, schenkingsverklaring, nalatenschap, akkerbouwbedrijf",
,9,,,,"onbekend, ouder, woonplaats, beoordelen, vernietiging, verwerpen, eenheid, ontwikkeling, motiveren, rechtbankdeskundigen",
